Dificuldade,Categoria,Pergunta,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Resposta Correta
Fácil,Música,Quem é conhecido como o 'Pai da Bossa Nova'?,João Gilberto,Tom Jobim,Vinicius de Moraes,Caetano Veloso,João Gilberto
Fácil,Música,Qual desses artistas é considerado um dos maiores nomes do samba brasileiro?,Cartola,Roberto Carlos,Milton Nascimento,Gilberto Gil,Cartola
Fácil,Música,A música 'Asa Branca' foi composta por:,Luiz Gonzaga e Humberto Teixeira,Chico Buarque e Tom Jobim,Caetano Veloso e Gilberto Gil,Milton Nascimento e Lô Borges,Luiz Gonzaga e Humberto Teixeira
Fácil,Música,Qual festival de música ficou famoso em 1985 no Rio de Janeiro?,Lollapalooza,Rock in Rio,Planeta Atlântida,Festival de Verão,Rock in Rio
Fácil,Cinema,Qual filme brasileiro foi indicado ao Oscar de Melhor Filme Estrangeiro em 1999?,Cidade de Deus,Central do Brasil,Tropa de Elite,O Auto da Compadecida,Central do Brasil
Fácil,Cinema,Quem dirigiu o filme 'Cidade de Deus'?,Fernando Meirelles e Kátia Lund,Walter Salles,José Padilha,Hector Babenco,Fernando Meirelles e Kátia Lund
Fácil,Cinema,Qual minissérie baseada em Ariano Suassuna virou sucesso em filme?,Grande Sertão: Veredas,O Auto da Compadecida,Gabriela,Capitães da Areia,O Auto da Compadecida
Fácil,Literatura,Quem escreveu 'Dom Casmurro'?,Machado de Assis,José de Alencar,Graciliano Ramos,Jorge Amado,Machado de Assis
Fácil,Literatura,Quem é a autora de 'A Hora da Estrela'?,Clarice Lispector,Rachel de Queiroz,Cecília Meireles,Lygia Fagundes Telles,Clarice Lispector
Fácil,Literatura,O livro 'Vidas Secas' foi escrito por:,Graciliano Ramos,José de Alencar,Érico Veríssimo,Aluísio Azevedo,Graciliano Ramos
Fácil,Arte Visual,"Quem pintou 'Abaporu', obra símbolo do modernismo brasileiro?",Tarsila do Amaral,Di Cavalcanti,Anita Malfatti,Candido Portinari,Tarsila do Amaral
Fácil,Arte Visual,Qual movimento artístico ficou marcado pela Semana de Arte Moderna de 1922?,Modernismo,Romantismo,Realismo,Barroco,Modernismo
Fácil,Cultura Popular,Em que cidade acontece o maior carnaval de rua do mundo?,Rio de Janeiro,Olinda,Salvador,São Paulo,Salvador
Fácil,Cultura Popular,Qual dança típica é patrimônio cultural do Brasil?,Frevo,Valsa,Hip Hop,Samba,Samba
Fácil,Cultura Popular,A festa junina tem origem em:,Portugal,África,Espanha,Índia,Portugal
Média,Música,"Quem compôs 'Chega de Saudade', marco da Bossa Nova?",João Gilberto,Tom Jobim e Vinicius de Moraes,Chico Buarque,Elis Regina,Tom Jobim e Vinicius de Moraes
Média,Música,Qual desses cantores é conhecido como 'O Rei' da música brasileira?,Caetano Veloso,Roberto Carlos,Gilberto Gil,Milton Nascimento,Roberto Carlos
Média,Cinema,Qual filme brasileiro venceu o Urso de Ouro em Berlim em 2008?,Tropa de Elite,Que Horas Ela Volta?,Aquarius,O Pagador de Promessas,Tropa de Elite
Média,Cinema,Qual atriz brasileira estrelou 'The Kiss of the Spider Woman' (1985)?,Sônia Braga,Fernanda Montenegro,Regina Duarte,Glória Pires,Sônia Braga
Média,Literatura,A obra 'Grande Sertão: Veredas' foi escrita por:,Guimarães Rosa,Clarice Lispector,Jorge Amado,Érico Veríssimo,Guimarães Rosa
Média,Literatura,"Qual escritor baiano é autor de 'Gabriela, Cravo e Canela'?",Jorge Amado,Machado de Assis,Carlos Drummond de Andrade,José Lins do Rego,Jorge Amado
Média,Arte Visual,Quem pintou os painéis 'Guerra e Paz' na ONU?,Candido Portinari,Di Cavalcanti,Alfredo Volpi,Tarsila do Amaral,Candido Portinari
Média,Arte Visual,Quem foi Anita Malfatti?,Pintora modernista,Cantora da Bossa Nova,Atriz de cinema,Escritora regionalista,Pintora modernista
Média,Cultura Popular,O boi-bumbá é uma manifestação cultural típica de:,Amazônia,Nordeste,Sul,Centro-Oeste,Amazônia
Média,Cultura Popular,Qual é a principal festa popular da cidade de Parintins (AM)?,Festival de Parintins,Carnaval,Círio de Nazaré,Lavagem do Bonfim,Festival de Parintins
Difícil,Música,Quem compôs a ópera 'O Guarani'?,Carlos Gomes,Heitor Villa-Lobos,Ernani Braga,Mário de Andrade,Carlos Gomes
Difícil,Música,Qual é o nome da obra musical de Heitor Villa-Lobos que homenageia Bach?,Bachianas Brasileiras,Choros,Serestas,Ciclo Brasileiro,Bachianas Brasileiras
Difícil,Cinema,Qual foi o primeiro filme brasileiro a ganhar a Palma de Ouro em Cannes?,O Pagador de Promessas,Central do Brasil,Pixote,Eles Não Usam Black-Tie,O Pagador de Promessas
Difícil,Literatura,Quem escreveu 'O Guarani'?,José de Alencar,Machado de Assis,Aluísio Azevedo,Castro Alves,José de Alencar
Difícil,Arte Visual,Qual pintor brasileiro ficou famoso por suas representações de favelas e carnavais?,Di Cavalcanti,Candido Portinari,Alfredo Volpi,Vicente do Rego Monteiro,Di Cavalcanti
